"Product Name","Product ID","SKU","Size","Color","Price","Currency","Fulfillment Location","Store Name","Stock Location","On Hand"
"SMOKEY BEAR SOCK","703060856616","F1320232900-1-BrnTan-XL-USA","XL","BrnTanSmky",30.0,"USD","50003","Portland","Main",0
"MACKINAW WOOL FORESTER CAP","703060856920","F1320233034-1-ForGrn-OS-USA","OneSize","ForestGrn",75.0,"USD","50003","Portland","Main",0
"MACKINAW WOOL FORESTER CAP","703060856937","F1320233034-1-Chr-OS-USA","OneSize","CharCore",75.0,"USD","50003","Portland","Main",0
"SMOKEY BEAR FULL ZIP HOODIE (PROSPECTOR)","703060857613","F1420233213-1-Brn-S-BGD","S","BrownSmky",135.0,"USD","50003","Portland","Main",0
"SMOKEY BEAR FULL ZIP HOODIE (PROSPECTOR)","703060857620","F1420233213-1-Brn-M-BGD","M","BrownSmky",135.0,"USD","50003","Portland","Main",0
"SMOKEY BEAR FULL ZIP HOODIE (PROSPECTOR)","703060857637","F1420233213-1-Brn-L-BGD","L","BrownSmky",135.0,"USD","50003","Portland","Main",0
"SMOKEY BEAR FULL ZIP HOODIE (PROSPECTOR)","703060857651","F1420233213-1-Brn-XL-BGD","XL","BrownSmky",135.0,"USD","50003","Portland","Main",0
"SMOKEY BEAR FULL ZIP HOODIE (PROSPECTOR)","703060857668","F1420233213-1-Brn-2XL-BGD","XXL","BrownSmky",135.0,"USD","50003","Portland","Main",0
"EVERYDAY CREW SOCK","703060857774","F1320245128-1-DkDuckCmo-M-USA","M","DkDuckCamo",22.5,"USD","50003","Portland","Main",0
"EVERYDAY CREW SOCK","703060857781","F1320245128-1-DkDuckCmo-L-USA","L","DkDuckCamo",22.5,"USD","50003","Portland","Main",0
"EVERYDAY CREW SOCK","703060857798","F1320245128-1-DkDuckCmo-XL-USA","XL","DkDuckCamo",22.5,"USD","50003","Portland","Main",0
"EVERYDAY CREW SOCK","703060857842","F1320245129-1-Tan-M-USA","M","TanBuck",30.0,"USD","50003","Portland","Main",0
"EVERYDAY CREW SOCK","703060857859","F1320245129-1-Tan-L-USA","L","TanBuck",30.0,"USD","50003","Portland","Main",0
"EVERYDAY CREW SOCK","703060857866","F1320245129-1-Tan-XL-USA","XL","TanBuck",30.0,"USD","50003","Portland","Main",0
"BUCK CREEK CAMP SHIRT","703060857910","F1420233076-1-Blk-S-LKA","S","Black",205.0,"USD","50003","Portland","Main",0
"BUCK CREEK CAMP SHIRT","703060857927","F1420233076-1-Blk-M-LKA","M","Black",205.0,"USD","50003","Portland","Main",0
"BUCK CREEK CAMP SHIRT","703060857934","F1420233076-1-Blk-L-LKA","L","Black",205.0,"USD","50003","Portland","Main",0
"BUCK CREEK CAMP SHIRT","703060857958","F1420233076-1-Blk-XL-LKA","XL","Black",205.0,"USD","50003","Portland","Main",0
"BUCK CREEK CAMP SHIRT","703060857965","F1420233076-1-Blk-2XL-LKA","XXL","Black",205.0,"USD","50003","Portland","Main",0
"S/S GRAPHIC POCKET T-SHIRT","703060858108","F1420237781-1-MplBarkCmo-S-BGD","S","MapleBark",75.0,"USD","50003","Portland","Main",0
"S/S GRAPHIC POCKET T-SHIRT","703060858115","F1420237781-1-MplBarkCmo-M-BGD","M","MapleBark",75.0,"USD","50003","Portland","Main",0
"S/S GRAPHIC POCKET T-SHIRT","703060858122","F1420237781-1-MplBarkCmo-L-BGD","L","MapleBark",75.0,"USD","50003","Portland","Main",0
"S/S GRAPHIC POCKET T-SHIRT","703060858146","F1420237781-1-MplBarkCmo-XL-BGD","XL","MapleBark",75.0,"USD","50003","Portland","Main",0
"S/S GRAPHIC POCKET T-SHIRT","703060858153","F1420237781-1-MplBarkCmo-2XL-BGD","XXL","MapleBark",75.0,"USD","50003","Portland","Main",0
"WAFFLE KNIT HENLEY","703060858634","F1420233067-1-FdBlk-S-PER","S","FadedBlack",119.0,"USD","50003","Portland","Main",3
"WAFFLE KNIT HENLEY","703060858641","F1420233067-1-FdBlk-M-PER","M","FadedBlack",119.0,"USD","50003","Portland","Main",6
"WAFFLE KNIT HENLEY","703060858658","F1420233067-1-FdBlk-L-PER","L","FadedBlack",119.0,"USD","50003","Portland","Main",2
"WAFFLE KNIT HENLEY","703060858665","F1420233067-1-FdBlk-XS-PER","XS","FadedBlack",115.0,"USD","50003","Portland","Main",4
"WAFFLE KNIT HENLEY","703060858672","F1420233067-1-FdBlk-XL-PER","XL","FadedBlack",115.0,"USD","50003","Portland","Main",5
"WAFFLE KNIT HENLEY","703060858689","F1420233067-1-FdBlk-2XL-PER","XXL","FadedBlack",119.0,"USD","50003","Portland","Main",3
"WAFFLE KNIT HENLEY","703060858696","F1420233067-1-FdBlk-3XL-PER","XXXL","FadedBlack",115.0,"USD","50003","Portland","Main",1
"RUGGED TWILL CRUISER VEST","703060858788","F1420228178-1-MplBarkCmo-S-LKA","S","MapleBark",130.0,"USD","50003","Portland","Main",0
"RUGGED TWILL CRUISER VEST","703060858795","F1420228178-1-MplBarkCmo-M-LKA","M","MapleBark",130.0,"USD","50003","Portland","Main",0
"RUGGED TWILL CRUISER VEST","703060858801","F1420228178-1-MplBarkCmo-L-LKA","L","MapleBark",130.0,"USD","50003","Portland","Main",0
"RUGGED TWILL CRUISER VEST","703060858825","F1420228178-1-MplBarkCmo-XL-LKA","XL","MapleBark",182.0,"USD","50003","Portland","Main",0
"RUGGED TWILL CRUISER VEST","703060858832","F1420228178-1-MplBarkCmo-2XL-LKA","XXL","MapleBark",130.0,"USD","50003","Portland","Main",0
"LEATHER KEY CHAIN","703060858931","F0320234681-1-Brn-OS-USA","One Size","Brown",69.0,"USD","50003","Portland","Main",10
"1970S LOGGER THERMAL SOCKS","703060858962","F1320246178-1-Scarlet-M-USA","M","Scarlet",40.0,"USD","50003","Portland","Main",0
"1970S LOGGER THERMAL SOCKS","703060858979","F1320246178-1-Scarlet-L-USA","L","Scarlet",49.0,"USD","50003","Portland","Main",2
"1970S LOGGER THERMAL SOCKS","703060858986","F1320246178-1-Scarlet-XL-USA","XL","Scarlet",40.0,"USD","50003","Portland","Main",0
"WAFFLE KNIT GRAPHIC THERMAL CREWNECK","703060859037","F1420233198-1-FdBlk-S-PER","S","FdBlkStag",95.0,"USD","50003","Portland","Main",0
"WAFFLE KNIT GRAPHIC THERMAL CREWNECK","703060859044","F1420233198-1-FdBlk-M-PER","M","FdBlkStag",95.0,"USD","50003","Portland","Main",0
"WAFFLE KNIT GRAPHIC THERMAL CREWNECK","703060859051","F1420233198-1-FdBlk-L-PER","L","FdBlkStag",95.0,"USD","50003","Portland","Main",0
"WAFFLE KNIT GRAPHIC THERMAL CREWNECK","703060859068","F1420233198-1-FdBlk-XS-PER","XS","FdBlkStag",95.0,"USD","50003","Portland","Main",0
"WAFFLE KNIT GRAPHIC THERMAL CREWNECK","703060859075","F1420233198-1-FdBlk-XL-PER","XL","FdBlkStag",95.0,"USD","50003","Portland","Main",0
"WAFFLE KNIT GRAPHIC THERMAL CREWNECK","703060859082","F1420233198-1-FdBlk-2XL-PER","XXL","FdBlkStag",95.0,"USD","50003","Portland","Main",0
"BUCKSHOT T-SHIRT","703060859181","F1420237978-1-Wht-S-THA","S","WhiteStag",60.0,"USD","50003","Portland","Main",0
"BUCKSHOT T-SHIRT","703060859198","F1420237978-1-Wht-M-THA","M","WhiteStag",60.0,"USD","50003","Portland","Main",0
